################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         36  -1.5230066800632588E-17   1.5896265812282575E+00   8.3664024972334258E-02   1.0896422773843888E-01
         1         37   0.0000000000000000E+00   1.6132051070610396E+00   1.8810501664972921E-02   5.3523440304836356E-02
         1         38   0.0000000000000000E+00   2.7388655405060058E-01   1.2374802223894880E-04   2.3848827481551755E-03
         1         39   0.0000000000000000E+00   3.0528177379665034E-01   1.1032522425646495E-03   5.3313753779025506E-03
         1         40  -3.2564044304327557E-23   2.2704252766556604E-01   6.3890132160776355E-05   2.7579386930914346E-03
         1         41   0.0000000000000000E+00   3.9132179125991812E-01   1.3572611807564770E-04   2.2921422367845447E-03
         1         42  -3.0717969160014400E-23   1.9592224149005411E-01   4.9717312189822517E-03   8.8426616211403752E-03
         1         43   0.0000000000000000E+00   6.5112440693386349E+00   1.5556443588290786E-01   3.8847569970712387E-01
         1         44   0.0000000000000000E+00   1.3357006183442857E+00   7.6349492544307111E-03   7.8817215837323498E-02
         1         45   0.0000000000000000E+00   1.7295559517375825E+00   4.9208171888408307E-02   8.3701977406792333E-02
         1         46  -8.0678231088799197E-20   1.3616815251408969E+00   6.7628700728037717E-04   2.5460273174939423E-02
         1         47   0.0000000000000000E+00   7.5744082440391614E-01   9.1948591847031570E-03   2.4728023425503221E-02
         1         48  -8.4932409622201744E-18   3.4570246506345725E-01   7.4806317718348770E-03   1.0574013070703691E-02
         1         49   0.0000000000000000E+00   4.1548326635783901E+01   1.5913396255031027E+00   3.6790234550188021E+00
         1         50   0.0000000000000000E+00   4.6812991317137769E+00   3.3177240649070128E-02   1.5270649905336178E-01
         1         51   0.0000000000000000E+00   1.0055863986986004E+01   5.5836266213358721E-01   1.0249828960172764E+00
         1         52  -4.6363845569966434E-18   1.7652648852445800E+01   1.3952096103449121E-02   3.3872875552797860E-01
         1         53   0.0000000000000000E+00   5.6441056267252563E+00   1.0204663891241759E-01   3.0851287801838034E-01
         1         54  -7.9199457110139018E-18   8.7768332034705097E+00   1.0972126002136628E+00   1.3741773927724901E+00
         1         55   0.0000000000000000E+00   3.8166192042499084E+01   1.3701263627133953E+00   3.2688315561739949E+00
         1         56   0.0000000000000000E+00   4.2786234526312796E+00   3.6560178789316541E-02   2.0493624988407858E-01
         1         57   0.0000000000000000E+00   9.3012857953706476E+00   4.8825786868680066E-01   8.2525328668171360E-01
